City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,wanning,18.8003,110.3967,24.56,91,100,3.65,CN,1697300549
186,tabou,4.423,-7.3528,27.02,80,45,3.77,CI,1697300549
187,tirebolu,41.0069,38.8139,16.93,83,0,2.48,TR,1697300549
188,makokou,0.5738,12.8642,21.9,98,100,0.96,GA,1697300550
189,zeya,53.75,127.2667,5.27,92,100,3.02,RU,1697300253
190,micheweni,-4.9667,39.8333,26.61,81,7,3.93,TZ,1697300551
191,argo,37.6333,22.7333,19.88,53,56,1.26,GR,1697300551
192,broken hill,-31.95,141.4333,15.02,51,0,4.98,AU,1697300362
193,mios,44.6049,-0.9333,19.05,68,40,4.63,FR,1697300552
194,ayr,55.4627,-4.6339,9.17,57,20,7.72,GB,1697300552
195,ad dawadimi,24.5077,44.3924,28.64,12,0,3.76,SA,1697300552
196,forster,-32.1667,152.5167,15.78,55,0,3.44,AU,1697300553
197,durango,24.8333,-104.8333,20.91,54,6,2.42,MX,1697300538
198,hadibu,12.65,54.0333,27.53,77,53,2.86,YE,1697300553
199,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,1697300553
200,quixada,-4.9714,-39.0153,36.56,27,5,3.19,BR,1697300554
201,mandalgovi,45.7625,106.2708,4.24,43,29,2.86,MN,1697300554
202,kavaratti,10.5669,72.642,27.53,78,99,5.2,IN,1697300554
203,vilyuchinsk,52.9306,158.4028,5.15,95,100,1.81,RU,1697300555
204,aykhal,66.0,111.5,-7.74,73,7,1.34,RU,1697300555
205,newman,37.3138,-121.0208,17.81,41,68,0.45,US,1697300555
206,villa hidalgo,21.6667,-102.6,23.3,44,45,3.97,MX,1697300556
207,aasiaat,68.7098,-52.8699,-1.78,64,83,9.97,GL,1697300556
208,petrove,48.3247,33.2562,15.99,62,9,3.52,UA,1697300556
209,rabo de peixe,37.8,-25.5833,21.73,83,40,7.2,PT,1697300557
210,nantucket,41.2835,-70.0995,16.08,67,0,3.09,US,1697300304
211,chegdomyn,51.1167,133.0167,7.96,80,4,2.68,RU,1697300558
212,kolonia,50.9333,6.95,13.1,68,75,9.77,DE,1697300558
213,dakhla,23.6848,-15.958,31.01,35,39,3.09,EH,1697300558
214,marshall,34.3834,-86.3333,22.79,65,40,5.66,US,1697300559
215,devils lake,48.1128,-98.8651,10.06,65,75,4.63,US,1697300559
216,north bend,43.4065,-124.2243,11.71,100,100,4.63,US,1697300559
217,voskresenskoye,56.8381,45.4317,8.11,88,100,5.66,RU,1697300361
218,asau,46.4333,26.4,18.51,52,46,2.37,RO,1697300560
219,cibitoke,-2.8833,29.25,21.36,69,100,1.1,BI,1697300560
220,al qitena,14.8648,32.3668,36.85,14,0,3.3,SD,1697300561
221,novosokol'niki,56.3463,30.1578,16.16,82,100,6.71,RU,1697300561
222,dedza,-14.3779,34.3332,25.26,27,2,2.04,MW,1697300561
223,lata,40.1629,-8.3327,25.51,55,66,3.86,PT,1697300562
224,atafu village,-8.5421,-172.5159,28.45,76,100,10.92,TK,1697300456
225,vorgashor,67.5833,63.95,-1.07,88,91,5.55,RU,1697300563
226,porec,45.2258,13.5939,21.99,68,15,3.69,HR,1697300563
227,tshela,-4.9833,12.9333,26.44,78,95,1.59,CD,1697300563
